KE 703,ICN,NRT,10:10,12:30, 2:20,"Mon,Sat",0
KE 704,NRT,ICN,13:55,16:35, 2:40,Daily,0
KE 705,ICN,NRT,18:35,20:45, 2:10,Daily,0
KE 706,NRT,ICN,09:10,11:50, 2:40,Daily,0
KE 713,PUS,NRT,16:20,18:30, 2:10,Daily,0
KE 714,NRT,PUS,19:30,22:00, 2:30,Daily,0
KE 715,PUS,NRT,09:25,11:35, 2:10,Daily,0
KE 716,NRT,PUS,12:45,15:15, 2:30,Daily,0
KE 718,NRT,CJU,09:45,12:35, 2:50,"Mon,Wed,Fri,Sun",0
KE 719,ICN,HND,21:00,23:05, 2:05,Daily,0
KE 720,HND,ICN,06:20,09:00, 2:40,Daily,0
KE 721,ICN,KIX,19:05,20:50, 1:45,Daily,0
KE 722,KIX,ICN,09:30,11:30, 2:00,Daily,0
KE 723,ICN,KIX,09:00,10:45, 1:45,Daily,0
KE 724,KIX,ICN,11:50,13:55, 2:05,Daily,0
KE 725,ICN,KIX,15:05,16:50, 1:45,Daily,0
KE 726,KIX,ICN,17:55,19:55, 2:00,Daily,0
KE 731,PUS,KIX,09:00,10:25, 1:25,Daily,0
KE 732,KIX,PUS,11:25,12:55, 1:30,Daily,0
KE 733,KIX,GUM,22:10,02:40, 3:30,Daily,1
KE 733,CJU,GUM,19:30,02:40, 4:55,Daily,1
KE 733,CJU,KIX,19:30,20:55, 1:25,Daily,0
KE 734,KIX,CJU,09:00,10:50, 1:50,Daily,0
KE 734,GUM,CJU,04:20,10:50, 5:40,Daily,0
KE 734,GUM,KIX,04:20,07:10, 3:50,Daily,0
KE 747,ICN,OKJ,18:40,20:10, 1:30,Daily,0
KE 748,OKJ,ICN,10:00,11:45, 1:45,Daily,0
KE 751,ICN,NGO,19:00,20:50, 1:50,Daily,0
KE 752,NGO,ICN,09:30,11:35, 2:05,Daily,0
KE 753,PUS,NGO,12:55,14:20, 1:25,Daily,0
KE 754,NGO,PUS,15:20,17:00, 1:40,Daily,0
KE 757,ICN,NGO,08:55,10:50, 1:55,Daily,0
KE 758,NGO,ICN,18:00,20:15, 2:15,Daily,0
KE 759,PUS,KIX,17:10,18:30, 1:20,Daily,0
KE 760,KIX,PUS,19:30,21:05, 1:35,Daily,0
KE 761,ICN,NGO,15:05,17:00, 1:55,"Mon,Tue,Thu,Sat",0
