KE 810,CGO,ICN,10:50,14:00, 2:10,"Tue,Thu,Sat",0
KE 813,ICN,HFE,08:30,10:10, 2:40,"Mon,Tue,Thu,Sat,Sun",0
KE 814,HFE,ICN,11:10,14:40, 2:30,"Mon,Tue,Thu,Sat,Sun",0
KE 817,ICN,TXN,13:15,14:50, 2:35,"Wed,Thu,Sat,Sun",0
KE 818,TXN,ICN,15:50,19:10, 2:20,"Wed,Thu,Sat,Sun",0
KE 821,ICN,DLC,16:10,16:30, 1:20,"Mon,Wed,Fri,Sat",0
KE 822,DLC,ICN,17:30,19:55, 1:25,"Mon,Wed,Fri,Sat",0
KE 823,ICN,MDG,08:45,10:25, 2:40,"Tue,Fri,Sat",0
KE 824,MDG,ICN,11:35,15:10, 2:35,"Tue,Fri,Sat",0
KE 825,ICN,YNJ,09:50,11:15, 2:25,Daily,0
KE 826,YNJ,ICN,12:15,15:45, 2:30,Daily,0
KE 827,ICN,SZX,08:50,11:35, 3:45,Daily,0
KE 828,SZX,ICN,12:45,17:15, 3:30,Daily,0
KE 829,PUS,PEK,08:15,09:50, 2:35,Daily,0
KE 830,PEK,PUS,18:35,22:05, 2:30,Daily,0
KE 831,ICN,SHE,08:05,08:55, 1:50,Daily,0
KE 832,SHE,ICN,10:15,13:05, 1:50,Daily,0
KE 833,ICN,SHE,14:40,15:25, 1:45,Wed-Sat,0
KE 834,SHE,ICN,16:35,19:45, 2:10,Wed-Sat,0
KE 835,PUS,PVG,16:05,16:50, 1:45,"Thu,Sat",0
KE 836,PVG,PUS,18:20,21:10, 1:50,"Thu,Sat",0
KE 839,ICN,WEH,14:10,14:25, 1:15,Tue-Sat,0
KE 840,WEH,ICN,15:25,17:40, 1:15,Tue-Sat,0
KE 841,ICN,TAO,13:05,13:40, 1:35,Daily,0
KE 842,TAO,ICN,14:50,17:20, 1:30,Daily,0
KE 845,ICN,TAO,08:10,08:40, 1:30,"Mon,Tue,Sat",0
KE 846,TAO,ICN,09:45,12:10, 1:25,"Mon,Tue,Sat",0
KE 847,ICN,TNA,13:10,14:05, 1:55,Mon-Sat,0
KE 848,TNA,ICN,15:05,17:45, 1:40,Mon-Sat,0
KE 853,ICN,PEK,19:00,20:05, 2:05,Sat,0
KE 854,PEK,ICN,21:15,00:20, 2:05,Sat,1
KE 857,ICN,PEK,23:55,01:05, 2:10,"Tue,Thu,Sat",1
KE 863,ICN,TSN,12:35,13:25, 1:50,Sat,0
KE 864,TSN,ICN,14:40,17:35, 1:55,Sat,0
KE 865,ICN,CAN,09:00,11:30, 3:30,"Tue,Thu,Sat,Sun",0
KE 866,CAN,ICN,12:40,17:05, 3:25,"Tue,Thu,Sat,Sun",0
KE 867,ICN,ULN,19:55,22:30, 3:35,"Mon,Wed-Sun",0
KE 868,ULN,ICN,23:55,03:55, 3:00,"Mon,Wed-Sun",1
KE 869,ICN,DLC,13:00,13:20, 1:20,"Fri,Sat",0
KE 870,DLC,ICN,14:30,16:50, 1:20,"Fri,Sat",0
KE 872,KWE,CJU,01:45,06:15, 3:30,"Tue,Thu,Sat",0
KE 875,PUS,PVG,08:45,09:25, 1:40,Daily,0
KE 876,PVG,PUS,11:10,14:00, 1:50,Daily,0
KE 879,CJU,PEK,15:50,17:25, 2:35,Daily,0
KE 880,PEK,CJU,10:50,14:25, 2:35,Daily,0
KE 887,ICN,XMN,10:20,12:30, 3:10,"Mon,Tue,Thu,Sat",0
KE 888,XMN,ICN,13:30,17:30, 3:00,"Mon,Tue,Thu,Sat",0
KE 889,PUS,TAO,11:05,11:55, 1:50,Daily,0
KE 890,TAO,PUS,13:10,15:55, 1:45,Daily,0
KE 893,ICN,PVG,08:45,09:40, 1:55,Daily,0
KE 894,PVG,ICN,11:00,14:05, 2:05,Daily,0
KE 895,ICN,PVG,19:15,20:10, 1:55,Sat,0
KE 896,PVG,ICN,08:50,11:50, 2:00,"Thu,Sat,Sun",0
KE 897,ICN,PVG,11:30,12:25, 1:55,Daily,0
KE 898,PVG,ICN,13:35,16:35, 2:00,Daily,0
KE 2851,GMP,PEK,09:20,10:30, 2:10,Daily,0
