KE 701,ICN,NRT,08:00,10:30, 2:30,"Mon,Wed,Fri",0
KE 702,NRT,ICN,13:00,15:30, 2:30,"Mon,Wed,Fri",0
KE 703,ICN,NRT,10:10,12:30, 2:20,"Tue-Fri,Sun",0
KE 704,NRT,ICN,13:55,16:20, 2:25,Daily,0
KE 705,ICN,NRT,18:35,20:55, 2:20,"Wed,Sat",0
KE 706,NRT,ICN,09:25,11:50, 2:25,"Mon-Wed,Fri,Sat",0
KE 713,PUS,NRT,16:00,18:10, 2:10,Daily,0
KE 714,NRT,PUS,19:10,21:25, 2:15,Daily,0
KE 715,PUS,NRT,09:30,11:35, 2:05,Daily,0
KE 716,NRT,PUS,12:45,14:55, 2:10,Daily,0
KE 717,CJU,NRT,18:00,20:20, 2:20,Daily,0
KE 718,NRT,CJU,09:45,12:25, 2:40,Daily,0
KE 719,ICN,HND,20:55,23:05, 2:10,"Mon,Wed",0
KE 720,HND,ICN,06:25,08:50, 2:25,"Mon,Wed,Fri-Sun",0
KE 721,ICN,KIX,19:15,20:55, 1:40,Wed-Sun,0
KE 721,ICN,GUM,19:15,02:50, 5:15,Wed-Sun,1
KE 721,KIX,GUM,22:15,02:50, 3:35,Wed-Sun,1
KE 722,GUM,KIX,04:25,07:05, 3:40,"Tue,Wed",0
KE 722,KIX,ICN,09:30,11:20, 1:50,"Tue,Wed",0
KE 722,GUM,ICN,04:25,11:20, 5:30,"Tue,Wed",0
KE 723,ICN,KIX,09:35,11:20, 1:45,Daily,0
KE 724,KIX,ICN,12:25,14:15, 1:50,Daily,0
KE 725,ICN,KIX,15:20,17:05, 1:45,"Mon,Wed-Sat",0
KE 726,KIX,ICN,18:15,20:05, 1:50,"Mon,Wed-Sat",0
KE 731,PUS,KIX,08:55,10:20, 1:25,Daily,0
KE 732,KIX,PUS,11:20,12:45, 1:25,Daily,0
KE 733,CJU,KIX,19:30,21:00, 1:30,Daily,0
KE 734,KIX,CJU,09:00,10:40, 1:40,Daily,0
KE 747,ICN,OKJ,18:40,20:10, 1:30,Daily,0
KE 748,OKJ,ICN,10:00,11:35, 1:35,Daily,0
KE 751,ICN,NGO,19:05,20:55, 1:50,"Wed,Fri,Sat",0
KE 752,NGO,ICN,09:25,11:25, 2:00,"Mon,Wed,Fri",0
KE 753,PUS,NGO,13:00,14:25, 1:25,Daily,0
KE 754,NGO,PUS,15:25,16:55, 1:30,Daily,0
KE 757,ICN,NGO,09:05,10:55, 1:50,Daily,0
KE 758,NGO,ICN,17:55,19:55, 2:00,Daily,0
KE 759,PUS,KIX,16:55,18:15, 1:20,Daily,0
KE 760,KIX,PUS,19:15,20:40, 1:25,Daily,0
KE 761,ICN,NGO,15:05,16:55, 1:50,"Wed,Fri,Sun",0
KE 762,NGO,ICN,11:55,13:55, 2:00,Daily,0
KE 763,ICN,KIJ,18:35,20:30, 1:55,Mon-Wed,0
KE 764,KIJ,ICN,09:30,11:45, 2:15,Tue-Thu,0
KE 765,ICN,CTS,10:10,12:55, 2:45,"Mon-Wed,Fri-Sun",0
KE 766,CTS,ICN,14:15,17:10, 2:55,"Mon-Wed,Fri-Sun",0
KE 767,ICN,AOJ,10:10,12:30, 2:20,"Wed,Fri,Sun",0
KE 768,AOJ,ICN,13:25,16:00, 2:35,"Wed,Fri,Sun",0
KE 775,ICN,KMQ,09:05,10:50, 1:45,"Wed,Fri",0
KE 776,KMQ,ICN,12:00,13:55, 1:55,"Wed,Fri",0
KE 781,ICN,FUK,18:35,19:55, 1:20,Mon-Fri,0
KE 782,FUK,ICN,21:05,22:35, 1:30,Mon-Fri,0
KE 783,PUS,FUK,09:15,10:05, 0:50,Daily,0
KE 784,FUK,PUS,11:05,12:00, 0:55,Daily,0
KE 785,ICN,KOJ,09:20,10:55, 1:35,"Wed,Fri",0
KE 786,KOJ,ICN,12:00,13:35, 1:35,"Wed,Fri",0
KE 787,ICN,FUK,08:00,09:20, 1:20,"Mon-Wed,Fri-Sun",0
